Age,Male,Female
0,1.38,1.33
1,1.40,1.34
2,1.43,1.37
3,1.47,1.41
4,1.49,1.43
5,1.47,1.41
6,1.49,1.43
7,1.51,1.45
8,1.50,1.44
9,1.49,1.43
10,1.51,1.45
11,1.52,1.46
12,1.52,1.47
13,1.53,1.47
14,1.54,1.48
15,1.57,1.51
16,1.59,1.53
17,1.60,1.55
18,1.61,1.55
19,1.62,1.57
20,1.66,1.61
21,1.69,1.64
22,1.71,1.66
23,1.73,1.68
24,1.74,1.70
25,1.73,1.70
26,1.73,1.70
27,1.72,1.69
28,1.71,1.69
29,1.71,1.68
30,1.71,1.68
31,1.72,1.70
32,1.73,1.71
33,1.74,1.73
34,1.74,1.74
35,1.75,1.75
36,1.75,1.76
37,1.75,1.76
38,1.74,1.76
39,1.73,1.75
40,1.70,1.73
41,1.67,1.71
42,1.63,1.67
43,1.58,1.63
44,1.54,1.60
45,1.50,1.55
46,1.45,1.52
47,1.41,1.48
48,1.38,1.45
49,1.35,1.42
50,1.31,1.39
51,1.28,1.37
52,1.25,1.34
53,1.22,1.32
54,1.20,1.30
55,1.18,1.29
56,1.16,1.28
57,1.14,1.26
58,1.12,1.24
59,1.08,1.21
60,1.04,1.18
61,1.00,1.14
62,0.95,1.10
63,0.91,1.05
64,0.86,1.01
65,0.81,0.96
66,0.77,0.92
67,0.72,0.88
68,0.68,0.83
69,0.64,0.79
70,0.60,0.75
71,0.56,0.71
72,0.52,0.67
73,0.47,0.62
74,0.42,0.56
75,0.38,0.51
76,0.35,0.47
77,0.32,0.43
78,0.29,0.40
79,0.26,0.37
80,0.24,0.35
81,0.21,0.31
82,0.18,0.28
83,0.16,0.25
84,0.13,0.22
85,0.10,0.19
86,0.08,0.15
87,0.06,0.13
88,0.05,0.10
89,0.04,0.08
90,0.03,0.06
91,0.02,0.05
92,0.01,0.03
93,0.01,0.02
94,0.01,0.02
95,0.00,0.01
96,0.00,0.01
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100+,0.00,0.00
