Age,Male,Female
0,193.47,183.72
1,193.07,183.54
2,193.28,183.85
3,194.72,185.32
4,197.60,187.89
5,201.35,191.34
6,204.45,194.54
7,206.47,196.77
8,208.02,198.50
9,209.55,200.07
10,210.22,201.12
11,211.02,202.39
12,212.99,204.64
13,214.39,206.39
14,213.41,206.00
15,210.08,203.18
16,206.89,200.04
17,206.84,199.87
18,209.57,202.60
19,213.24,206.01
20,221.53,212.93
21,239.06,227.00
22,255.82,239.33
23,262.33,243.16
24,264.57,243.76
25,268.92,246.77
26,274.73,252.42
27,277.99,256.22
28,278.02,257.91
29,278.02,260.83
30,279.73,265.16
31,281.93,269.11
32,281.11,269.82
33,275.41,266.29
34,269.67,262.99
35,269.06,263.34
36,271.17,265.56
37,271.12,266.60
38,268.76,266.05
39,265.40,264.87
40,261.96,263.32
41,258.88,261.31
42,254.26,257.93
43,248.04,252.76
44,243.25,248.21
45,240.99,246.13
46,239.89,244.92
47,237.77,242.70
48,234.70,239.56
49,234.10,238.12
50,237.73,240.92
51,242.41,245.28
52,243.08,246.15
53,240.31,243.94
54,238.72,242.41
55,242.44,245.47
56,253.19,255.55
57,265.67,268.04
58,273.03,275.81
59,273.12,276.52
60,269.22,273.80
61,265.72,271.68
62,260.99,268.31
63,254.71,262.92
64,248.58,257.52
65,241.01,251.38
66,232.87,244.83
67,224.63,238.27
68,214.27,229.28
69,203.02,218.27
70,193.47,208.50
71,185.70,201.02
72,178.49,194.76
73,172.18,189.49
74,167.32,185.54
75,157.25,175.59
76,139.53,156.85
77,124.75,141.28
78,115.75,132.42
79,106.55,123.69
80,96.02,114.16
81,86.03,105.31
82,77.33,96.86
83,69.67,89.18
84,62.41,81.95
85,55.68,75.19
86,49.47,69.24
87,43.17,63.06
88,37.42,57.08
89,32.39,51.82
90,27.49,46.45
91,22.62,40.57
92,17.81,34.18
93,13.90,28.49
94,10.65,23.47
95,7.78,18.67
96,5.58,14.64
97,3.87,11.22
98,2.56,8.22
99,1.65,5.84
100+,2.39,10.13
