Age,Male,Female
0,337.54,323.05
1,333.36,320.04
2,338.9,325.63
3,349.87,334.89
4,356.06,340.95
5,363.71,348.78
6,373.35,357.82
7,384.79,368.88
8,393.13,376.9
9,399.23,381.38
10,405.44,387.24
11,410.95,392.6
12,413.08,394.22
13,411.69,392.42
14,409.07,390.18
15,409.29,389.99
16,406.48,387.14
17,400.52,380.32
18,397.26,377.45
19,392.81,373.84
20,391.92,373.85
21,390.88,374.29
22,380.1,366.78
23,366.31,357.62
24,354.36,349.58
25,347.38,346.32
26,345.8,348.53
27,338.84,344.5
28,334.56,343.28
29,344,355.88
30,357.81,371.78
31,366.89,381.89
32,371.51,390.56
33,376.63,398.19
34,380.84,402.64
35,384.3,407.31
36,385.87,410.05
37,384.19,408.28
38,383.29,406.92
39,394.51,417.61
40,409.7,431.33
41,413.85,432.55
42,405.16,421.87
43,393.87,408.2
44,391.82,402.28
45,386.56,395.96
46,386.11,395.47
47,402.77,410.94
48,421.96,430.77
49,437.35,446.38
50,442.91,450.57
51,433.07,441.03
52,419.68,429.94
53,410.56,424.28
54,405.84,421.2
55,408.94,424.91
56,412.16,429.79
57,412.3,432.58
58,410.09,433.69
59,399.43,425.09
60,391.14,417.85
61,387.75,416.59
62,382.11,414.41
63,374.75,411.04
64,367.94,406.94
65,362.47,404.57
66,355.71,401.27
67,350.97,397.49
68,346.06,393.03
69,343.96,393.28
70,341.4,392.86
71,339.65,393.35
72,337.54,394.11
73,330.7,388.94
74,321.57,380.9
75,303.43,364.97
76,252.62,309.82
77,209.4,261.45
78,199.08,252.07
79,184.36,236.27
80,162.28,212.86
81,149.84,202.96
82,148.97,209.41
83,142.88,208.44
84,131.85,199.26
85,121.05,191.02
86,108.51,181.6
87,96.56,171.26
88,84.3,158.47
89,72.76,145.81
90,62.27,133
91,51.24,117.56
92,40.18,99.66
93,30.6,82.16
94,23.14,67.49
95,17.06,54.35
96,12.26,42.76
97,8.35,32.05
98,5.51,23.32
99,3.55,16.55
100+,4.66,26.06
