Age,Male,Female
0,0.72,0.71
1,0.71,0.70
2,0.70,0.69
3,0.69,0.68
4,0.68,0.68
5,0.68,0.68
6,0.68,0.67
7,0.67,0.67
8,0.66,0.66
9,0.67,0.67
10,0.67,0.67
11,0.68,0.67
12,0.68,0.68
13,0.68,0.68
14,0.67,0.67
15,0.66,0.66
16,0.63,0.64
17,0.61,0.62
18,0.59,0.60
19,0.57,0.58
20,0.55,0.57
21,0.53,0.55
22,0.51,0.53
23,0.49,0.51
24,0.47,0.49
25,0.45,0.48
26,0.44,0.46
27,0.43,0.45
28,0.42,0.44
29,0.41,0.43
30,0.40,0.42
31,0.40,0.41
32,0.39,0.40
33,0.39,0.39
34,0.38,0.38
35,0.37,0.37
36,0.36,0.36
37,0.35,0.34
38,0.33,0.33
39,0.32,0.31
40,0.31,0.30
41,0.29,0.28
42,0.28,0.27
43,0.27,0.26
44,0.25,0.25
45,0.24,0.24
46,0.23,0.23
47,0.22,0.22
48,0.21,0.21
49,0.20,0.20
50,0.19,0.19
51,0.18,0.18
52,0.17,0.17
53,0.16,0.17
54,0.15,0.16
55,0.14,0.15
56,0.13,0.14
57,0.13,0.14
58,0.12,0.13
59,0.11,0.12
60,0.10,0.11
61,0.09,0.10
62,0.09,0.10
63,0.08,0.09
64,0.07,0.09
65,0.07,0.08
66,0.06,0.07
67,0.05,0.07
68,0.05,0.06
69,0.04,0.06
70,0.04,0.05
71,0.04,0.05
72,0.04,0.04
73,0.04,0.04
74,0.03,0.04
75,0.03,0.04
76,0.02,0.03
77,0.02,0.03
78,0.02,0.03
79,0.02,0.03
80,0.01,0.02
81,0.01,0.02
82,0.01,0.02
83,0.01,0.02
84,0.01,0.02
85,0.01,0.01
86,0.01,0.01
87,0.00,0.01
88,0.00,0.01
89,0.00,0.01
90,0.00,0.01
91,0.00,0.01
92,0.00,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100+,0.00,0.00
