Age,Male,Female
0,1.26,1.18
1,1.25,1.17
2,1.24,1.16
3,1.23,1.15
4,1.22,1.14
5,1.21,1.13
6,1.20,1.12
7,1.20,1.12
8,1.20,1.12
9,1.20,1.11
10,1.19,1.11
11,1.19,1.11
12,1.19,1.11
13,1.18,1.10
14,1.17,1.09
15,1.16,1.08
16,1.15,1.07
17,1.13,1.05
18,1.10,1.04
19,1.08,1.02
20,1.08,1.02
21,1.09,1.02
22,1.08,1.02
23,1.05,1.00
24,1.03,0.99
25,1.02,0.98
26,1.00,0.97
27,0.99,0.96
28,0.97,0.94
29,0.96,0.93
30,0.95,0.92
31,0.92,0.89
32,0.89,0.86
33,0.87,0.84
34,0.85,0.82
35,0.82,0.79
36,0.81,0.77
37,0.79,0.75
38,0.77,0.73
39,0.75,0.72
40,0.74,0.71
41,0.74,0.70
42,0.73,0.69
43,0.71,0.67
44,0.68,0.65
45,0.66,0.64
46,0.65,0.62
47,0.62,0.60
48,0.61,0.58
49,0.59,0.57
50,0.58,0.56
51,0.57,0.55
52,0.55,0.54
53,0.53,0.52
54,0.51,0.50
55,0.48,0.48
56,0.47,0.47
57,0.45,0.46
58,0.43,0.44
59,0.41,0.42
60,0.39,0.41
61,0.37,0.39
62,0.35,0.38
63,0.33,0.36
64,0.31,0.34
65,0.29,0.32
66,0.27,0.31
67,0.26,0.29
68,0.24,0.27
69,0.22,0.25
70,0.20,0.23
71,0.18,0.21
72,0.16,0.20
73,0.14,0.18
74,0.12,0.16
75,0.11,0.14
76,0.09,0.13
77,0.08,0.11
78,0.07,0.10
79,0.06,0.09
80,0.05,0.08
81,0.05,0.07
82,0.04,0.06
83,0.03,0.06
84,0.03,0.05
85,0.02,0.04
86,0.02,0.03
87,0.01,0.03
88,0.01,0.02
89,0.01,0.02
90,0.01,0.01
91,0.00,0.01
92,0.00,0.01
93,0.00,0.01
94,0.00,0.00
95,0.00,0.00
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100+,0.00,0.00
