Age,Male,Female
0,127.22,124.08
1,122.93,119.94
2,120.82,117.95
3,118.91,116.18
4,116.83,114.25
5,114.66,112.25
6,112.65,110.44
7,111.48,109.40
8,110.90,108.85
9,110.37,108.30
10,109.36,107.27
11,107.53,105.43
12,105.71,103.58
13,103.92,101.74
14,101.72,99.50
15,99.45,97.22
16,96.97,94.79
17,94.42,92.35
18,92.91,90.92
19,91.64,89.73
20,89.43,87.61
21,86.68,84.97
22,83.87,82.30
23,81.11,79.69
24,78.40,77.09
25,75.86,74.59
26,73.26,72.01
27,70.81,69.58
28,68.59,67.40
29,66.21,65.06
30,63.82,62.70
31,61.58,60.48
32,59.52,58.43
33,57.70,56.62
34,56.06,54.98
35,54.28,53.21
36,52.33,51.31
37,50.43,49.48
38,48.55,47.69
39,46.67,45.91
40,44.82,44.20
41,43.04,42.58
42,41.38,41.09
43,39.82,39.72
44,38.23,38.30
45,36.64,36.86
46,35.18,35.52
47,33.81,34.25
48,32.33,32.89
49,30.88,31.53
50,29.57,30.31
51,28.29,29.12
52,27.06,27.97
53,25.88,26.88
54,24.76,25.85
55,23.61,24.79
56,22.43,23.69
57,21.33,22.67
58,20.22,21.66
59,19.05,20.59
60,17.91,19.53
61,16.80,18.49
62,15.69,17.44
63,14.63,16.43
64,13.61,15.46
65,12.62,14.50
66,11.66,13.56
67,10.73,12.62
68,9.80,11.68
69,8.95,10.80
70,8.19,10.00
71,7.47,9.23
72,6.57,8.20
73,5.85,7.48
74,5.66,7.38
75,5.30,6.93
76,4.66,6.18
77,4.07,5.46
78,3.49,4.75
79,2.95,4.07
80,2.47,3.46
81,2.05,2.92
82,1.69,2.44
83,1.37,2.02
84,1.09,1.65
85,0.85,1.31
86,0.64,1.02
87,0.48,0.78
88,0.35,0.60
89,0.25,0.45
90,0.18,0.33
91,0.13,0.24
92,0.09,0.17
93,0.06,0.12
94,0.04,0.08
95,0.02,0.05
96,0.01,0.03
97,0.01,0.02
98,0.01,0.01
99,0.00,0.01
100+,0.00,0.01
