Age,Male,Female
0,0.58,0.56
1,0.59,0.57
2,0.60,0.58
3,0.60,0.58
4,0.59,0.57
5,0.57,0.55
6,0.57,0.55
7,0.59,0.56
8,0.59,0.57
9,0.58,0.56
10,0.58,0.56
11,0.57,0.55
12,0.56,0.54
13,0.57,0.55
14,0.56,0.54
15,0.53,0.52
16,0.52,0.50
17,0.50,0.48
18,0.47,0.46
19,0.45,0.44
20,0.45,0.43
21,0.45,0.44
22,0.46,0.45
23,0.47,0.46
24,0.47,0.46
25,0.49,0.48
26,0.52,0.51
27,0.53,0.52
28,0.54,0.53
29,0.55,0.54
30,0.56,0.55
31,0.56,0.55
32,0.57,0.56
33,0.58,0.57
34,0.58,0.57
35,0.57,0.56
36,0.54,0.53
37,0.51,0.51
38,0.49,0.48
39,0.47,0.46
40,0.45,0.44
41,0.43,0.42
42,0.40,0.39
43,0.36,0.35
44,0.32,0.31
45,0.28,0.28
46,0.26,0.27
47,0.26,0.26
48,0.26,0.27
49,0.27,0.29
50,0.28,0.31
51,0.29,0.33
52,0.29,0.34
53,0.28,0.34
54,0.27,0.34
55,0.26,0.33
56,0.24,0.31
57,0.22,0.29
58,0.20,0.27
59,0.18,0.25
60,0.16,0.24
61,0.14,0.22
62,0.13,0.20
63,0.11,0.19
64,0.11,0.18
65,0.10,0.17
66,0.09,0.17
67,0.09,0.16
68,0.09,0.16
69,0.09,0.15
70,0.08,0.15
71,0.07,0.14
72,0.07,0.13
73,0.06,0.12
74,0.06,0.12
75,0.05,0.10
76,0.05,0.09
77,0.04,0.08
78,0.04,0.08
79,0.03,0.07
80,0.03,0.06
81,0.02,0.06
82,0.02,0.05
83,0.02,0.04
84,0.02,0.04
85,0.01,0.03
86,0.01,0.03
87,0.01,0.02
88,0.01,0.02
89,0.01,0.02
90,0.00,0.02
91,0.00,0.01
92,0.00,0.01
93,0.00,0.01
94,0.00,0.01
95,0.00,0.01
96,0.00,0.00
97,0.00,0.00
98,0.00,0.00
99,0.00,0.00
100+,0.00,0.00
