Age,Male,Female
0,224.01,213.71
1,214.42,204.69
2,203.38,194.28
3,191.08,182.72
4,185.24,177.16
5,184.60,176.48
6,189.05,180.61
7,204.77,195.30
8,232.68,221.45
9,259.57,246.71
10,274.65,260.94
11,285.75,271.53
12,295.78,281.26
13,306.74,291.98
14,307.15,292.99
15,294.23,281.58
16,286.16,274.74
17,283.22,272.75
18,279.81,270.31
19,275.79,267.18
20,270.20,262.31
21,260.08,252.64
22,247.63,240.27
23,234.90,227.32
24,219.66,211.71
25,203.69,195.26
26,187.68,178.79
27,171.71,162.53
28,156.37,147.17
29,142.28,133.40
30,132.38,124.11
31,128.47,121.07
32,128.03,121.64
33,129.23,124.13
34,131.38,127.76
35,132.64,130.40
36,132.60,131.58
37,131.71,131.66
38,130.58,131.33
39,129.18,130.61
40,127.71,129.82
41,126.95,129.62
42,125.80,129.05
43,123.73,127.54
44,121.15,125.40
45,117.70,122.39
46,113.74,118.86
47,110.01,115.46
48,106.57,112.28
49,103.43,109.38
50,100.28,106.47
51,97.04,103.52
52,93.21,100.00
53,88.47,95.57
54,83.87,91.25
55,79.39,87.00
56,74.63,82.53
57,69.96,78.16
58,65.59,74.02
59,61.76,70.33
60,58.30,66.98
61,55.24,63.97
62,52.41,61.12
63,49.53,58.16
64,46.74,55.24
65,43.99,52.32
66,41.06,49.42
67,37.96,46.44
68,34.98,43.42
69,32.26,40.56
70,29.79,37.87
71,27.52,35.34
72,25.38,32.92
73,24.72,30.85
74,22.94,27.84
75,19.32,24.23
76,16.60,21.70
77,14.41,19.57
78,12.60,17.72
79,11.08,16.20
80,9.66,14.52
81,8.31,12.74
82,7.03,11.15
83,5.83,9.70
84,4.74,8.32
85,3.85,7.10
86,3.11,6.01
87,2.50,5.03
88,2.02,4.21
89,1.64,3.50
90,1.28,2.83
91,0.87,2.14
92,0.60,1.59
93,0.40,1.14
94,0.26,0.80
95,0.16,0.53
96,0.09,0.34
97,0.05,0.21
98,0.03,0.13
99,0.02,0.07
100+,0.01,0.08
