Age,Male,Female
0,347.93,330.03
1,349.59,331.61
2,359.59,341.11
3,375.68,356.31
4,390.61,370.66
5,405.18,384.66
6,413.48,392.42
7,416.11,394.91
8,418.69,397.78
9,427.55,406.82
10,434.2,413.68
11,432.58,412.1
12,428.38,407.48
13,425.59,404.53
14,421.81,400.53
15,411.55,390.91
16,399.98,380.4
17,392.53,372.89
18,386.97,367.14
19,379.89,360.04
20,379.71,359.5
21,389.25,368.04
22,404.9,382.26
23,421.47,398.28
24,434.21,409.91
25,443.78,417.4
26,448.16,422.04
27,450.83,427.57
28,455.56,435.07
29,460.89,443.84
30,467.4,453.28
31,471.26,457.54
32,465.36,454.28
33,457.55,453.08
34,451.38,454.6
35,443.91,451.6
36,443.38,450.29
37,441.85,448.43
38,435.99,444.63
39,433.41,444.2
40,434.11,445.65
41,438.63,448.77
42,435.99,444.07
43,417.72,423.8
44,396.88,401.99
45,389.15,395.17
46,391.65,399.42
47,398.27,407.31
48,408.01,417.98
49,421.44,432.59
50,439.24,452.64
51,445.88,462.18
52,444.31,461.67
53,448.31,465.21
54,451.9,468.13
55,453.2,468.87
56,453.96,471.42
57,454.25,473.8
58,448.07,468.15
59,438.42,457.4
60,427.97,445.32
61,413.36,430.76
62,397.17,415.15
63,384.22,402.9
64,373.14,392.02
65,359.12,378.22
66,342.54,362.53
67,330.01,351.68
68,324.44,347.77
69,315.97,340.87
70,306.56,333.07
71,303.46,331.51
72,305.8,335.83
73,312.13,344.06
74,322.99,357.53
75,311.61,347.92
76,272.84,308.63
77,245,281.16
78,229.7,267.67
79,207.32,246.32
80,180.14,219.5
81,160.78,200.88
82,151.63,192.81
83,143.69,185.91
84,131.86,174.38
85,117.36,159.57
86,103.05,144.64
87,89.2,129.44
88,75.91,114.21
89,64.42,100.96
90,54.09,88.89
91,44.14,76.48
92,35.09,64.2
93,27.5,52.7
94,21.02,42.28
95,15.56,33.6
96,11.17,26.21
97,7.71,19.74
98,5.15,14.47
99,3.36,10.37
100+,4.79,18.28
