susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0205479692428525,0.0015288569018463
0.3537,0.0152,0.019947151428734,0.00107019983129241
0.3998,0.0213,0.011175211342604,0.0145241405675398
0.4318,0.0262,0.00901226721177742,0.00795005588960074
0.6081,0.0668,0.00720981376942193,0.00917314141107778
0.7004,0.0982,0.00504686963859536,0.0192635969632633
0.7152,0.1039,0.00757030445789303,0.0178876257516017
0.6895,0.0941,0.0108147206541329,0.0192635969632633
0.7075,0.1009,0.0144196275388439,0.0287425097547104
0.766,0.1253,0.0194664971774392,0.0319531092485876
0.8963,0.1925,0.0195866607402629,0.0487705351688968
1.0018,0.2607,0.0186253522376733,0.0868390720248696
1.0455,0.2929,0.0251141846301531,0.149675090690752
1.307,0.5387,0.0296804000174536,0.140807720660044
1.387,0.6334,0.0291997457661588,0.252720045875193
1.3056,0.5371,0.0312425263341617,0.346438973958371
1.4357,0.696,0.0340062882791068,0.400407622593545
1.5476,0.8541,0.0317231805854565,0.531277773391588
1.5698,0.888,0.0276376194494508,0.883832174957344
1.5229,0.8174,0.0233117311877976,1
1.5776,0.9,0.0233117311877976,1
