susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00063749587114125,0.000578871063765118
0.3537,0.0152,0.000618855640990921,0.000405209744635582
0.3998,0.0213,0.000346708280796118,0.00549927510576862
0.4318,0.0262,0.000279603452254934,0.00301012953157861
0.6081,0.0668,0.000223682761803947,0.00347322638259071
0.7004,0.0982,0.000156577933262763,0.00729377540344048
0.7152,0.1039,0.000234866899894145,0.00677279144605188
0.6895,0.0941,0.000335524142705921,0.00729377540344048
0.7075,0.1009,0.000447365523607895,0.0108827759987842
0.766,0.1253,0.000603943456870658,0.012098405232691
0.8963,0.1925,0.000607671502900724,0.0184659869341073
1.0018,0.2607,0.000577847134660197,0.0328798764218587
1.0455,0.2929,0.00077916162028375,0.056671477142605
1.307,0.5387,0.00092082736942625,0.0533140249727673
1.387,0.6334,0.000905915185305987,0.095687386840374
1.3056,0.5371,0.000969291967817105,0.131172183049176
1.4357,0.696,0.00105503702650862,0.151606331600084
1.5476,0.8541,0.000984204151937369,0.201157694658378
1.5698,0.888,0.000857450586915132,0.334645361962615
1.5229,0.8174,0.000723240929832763,0.550853704278886
1.5776,0.9,0.000723240929832763,0.460723479650657
