susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0240858363115418,0.00194011977296989
0.3537,0.0152,0.023381572091906,0.00135808384107892
0.3998,0.0213,0.0130993144852245,0.018431137843214
0.4318,0.0262,0.0105639632945359,0.0100886228194434
0.6081,0.0668,0.00845117063562869,0.0116407186378193
0.7004,0.0982,0.00591581944494008,0.0244455091394206
0.7152,0.1039,0.00887372916741012,0.0226994013437477
0.6895,0.0941,0.012676755953443,0.0244455091394206
0.7075,0.1009,0.0169023412712574,0.0364742517318339
0.766,0.1253,0.0228181607161975,0.0405485032550707
0.8963,0.1925,0.0229590135601246,0.0618898207577395
1.0018,0.2607,0.0218321908087074,0.11019880310469
1.0455,0.2929,0.0294382443807733,0.189937725773752
1.307,0.5387,0.0347906524500048,0.178685031090527
1.387,0.6334,0.0342272410742962,0.320701798471923
1.3056,0.5371,0.0366217394210577,0.439631140554977
1.4357,0.696,0.039861354831382,0.508117368540814
1.5476,0.8541,0.0371851507967662,0.674191621107037
1.5698,0.888,0.0323961541032433,1
1.5229,0.8174,0.0273254517218661,1
1.5776,0.9,0.0273254517218661,1
