susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0103161041898166,0.000759545445516748
0.3537,0.0152,0.0100144637164301,0.000531681811861724
0.3998,0.0213,0.00561051280498796,0.00721568173240911
0.4318,0.0262,0.00452460710079674,0.00394963631668709
0.6081,0.0668,0.00361968568063739,0.00455727267310049
0.7004,0.0982,0.00253377997644618,0.00957027261351103
0.7152,0.1039,0.00380066996466926,0.00888668171254595
0.6895,0.0941,0.00542952852095609,0.00957027261351103
0.7075,0.1009,0.00723937136127479,0.0142794543757149
0.766,0.1253,0.00977315133772097,0.0158744998113
0.8963,0.1925,0.00983347943239826,0.0242294997119843
1.0018,0.2607,0.00935085467497994,0.0431421813053513
1.0455,0.2929,0.0126085717875536,0.0743594991160896
1.307,0.5387,0.0149010393852906,0.0699541355320925
1.387,0.6334,0.0146597270065814,0.125552862143918
1.3056,0.5371,0.0156853046160954,0.172112997954095
1.4357,0.696,0.017072850793673,0.198924952180836
1.5476,0.8541,0.0159266169948045,0.26394204231707
1.5698,0.888,0.0138754617757767,0.439093222053232
1.5229,0.8174,0.0117036503673942,0.722783445953738
1.5776,0.9,0.0117036503673942,0.60452222008678
