susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.014352418933067,0.00107260698353989
0.3537,0.0152,0.0139327575607551,0.000750824888477926
0.3998,0.0213,0.00780570152500135,0.010189766343629
0.4318,0.0262,0.00629492058467851,0.00557755631440745
0.6081,0.0668,0.00503593646774281,0.00643564190123937
0.7004,0.0982,0.00352515552741997,0.0135148479926027
0.7152,0.1039,0.00528773329112995,0.0125495017074168
0.6895,0.0941,0.00755390470161421,0.0135148479926027
0.7075,0.1009,0.0100718729354856,0.02016501129055
0.766,0.1253,0.0135970284629056,0.0224174859559838
0.8963,0.1925,0.013680960737368,0.0342161627749226
1.0018,0.2607,0.0130095025416689,0.060924076665066
1.0455,0.2929,0.0175418453626374,0.105008223688556
1.307,0.5387,0.0207312717922079,0.0987871031840243
1.387,0.6334,0.0203955426943584,0.177301934379145
1.3056,0.5371,0.0218223913602188,0.24305274247014
1.4357,0.696,0.0237528336728536,0.280915768989098
1.5476,0.8541,0.0221581204580684,0.372730926780113
1.5698,0.888,0.0193044231263474,0.620074097184413
1.5229,0.8174,0.0162828612457017,1
1.5776,0.9,0.0162828612457017,0.853687898199402
