susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0177624555297596,0.00175491889493484
0.3537,0.0152,0.0172430854850298,0.00122844322645439
0.3998,0.0213,0.00966028283197451,0.016671729501881
0.4318,0.0262,0.00779055067094718,0.00912557825366118
0.6081,0.0668,0.00623244053675775,0.0105295133696091
0.7004,0.0982,0.00436270837573042,0.022111978076179
0.7152,0.1039,0.00654406256359564,0.0205325510707377
0.6895,0.0941,0.00934866080513662,0.022111978076179
0.7075,0.1009,0.0124648810735155,0.0329924752247751
0.766,0.1253,0.0168275894492459,0.0366778049041382
0.8963,0.1925,0.0169314634581919,0.0559819127484215
1.0018,0.2607,0.0161004713866242,0.0996793932322991
1.0455,0.2929,0.0217096678697062,0.171806559814121
1.307,0.5387,0.0256568802096527,0.161628030223499
1.387,0.6334,0.0252413841738689,0.29008809333273
1.3056,0.5371,0.0270072423259502,0.397664621592236
1.4357,0.696,0.0293963445317074,0.459613258583436
1.5476,0.8541,0.0274227383617341,0.609834315989858
1.5698,0.888,0.0238910220575714,1
1.5229,0.8174,0.0201515577355167,1
1.5776,0.9,0.0201515577355167,1
