susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0178800755357927,0.00171783712785604
0.3537,0.0152,0.0173572663095999,0.00120248598949923
0.3998,0.0213,0.00972425160718548,0.0163194527146324
0.4318,0.0262,0.00784213839289151,0.00893275306485143
0.6081,0.0668,0.00627371071431321,0.0103070227671363
0.7004,0.0982,0.00439159750001925,0.0216447478109862
0.7152,0.1039,0.00658739625002887,0.0200986943959157
0.6895,0.0941,0.00941056607146982,0.0216447478109862
0.7075,0.1009,0.0125474214286264,0.0322953380036936
0.766,0.1253,0.0169390189286457,0.0359027959721913
0.8963,0.1925,0.0170435807738842,0.0547990043786078
1.0018,0.2607,0.0162070860119758,0.0975731488622233
1.0455,0.2929,0.0218534256548577,0.168176254817107
1.307,0.5387,0.0258267757739227,0.158212799475542
1.387,0.6334,0.0254085283929685,0.283958477234604
1.3056,0.5371,0.0271860797620239,0.38926189317218
1.4357,0.696,0.0295910022025106,0.449901543785498
1.5476,0.8541,0.0276043271429781,0.596948401929975
1.5698,0.888,0.0240492244048673,0.993081643613579
1.5229,0.8174,0.0202849979762794,1
1.5776,0.9,0.0202849979762794,1
