susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0440883866876375,0.00225557105512986
0.3537,0.0152,0.0427992525739639,0.0015788997385909
0.3998,0.0213,0.0239778945143291,0.0214279250237337
0.4318,0.0262,0.0193370117051041,0.0117289694866753
0.6081,0.0668,0.0154696093640833,0.0135334263307792
0.7004,0.0982,0.0108287265548583,0.0284201952946362
0.7152,0.1039,0.0162430898322875,0.0263901813450193
0.6895,0.0941,0.023204414046125,0.0284201952946362
0.7075,0.1009,0.0309392187281666,0.0424047358364413
0.766,0.1253,0.041767945283025,0.047141435052214
0.8963,0.1925,0.0420257721057597,0.0719527166586425
1.0018,0.2607,0.0399631575238819,0.128116435931376
1.0455,0.2929,0.0538858059515569,0.220820406297213
1.307,0.5387,0.0636832252154763,0.20773809417746
1.387,0.6334,0.0626519179245375,0.372845895412966
1.3056,0.5371,0.0670349739110277,0.511112401092426
1.4357,0.696,0.0729649908339263,0.59073405933851
1.5476,0.8541,0.0680662812019666,0.783810941657626
1.5698,0.888,0.0593001692289861,1
1.5229,0.8174,0.0500184036105361,1
1.5776,0.9,0.0500184036105361,1
