susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0297807147393259,0.00219266942522909
0.3537,0.0152,0.0289099336065971,0.00153486859766036
0.3998,0.0213,0.0161965290687562,0.0208303595396763
0.4318,0.0262,0.0130617169909324,0.0114018810111912
0.6081,0.0668,0.0104493735927459,0.0131560165513745
0.7004,0.0982,0.00731456151492215,0.0276276347578865
0.7152,0.1039,0.0109718422723832,0.0256542322751803
0.6895,0.0941,0.0156740603891189,0.0276276347578865
0.7075,0.1009,0.0208987471854919,0.0412221851943068
0.766,0.1253,0.028213308700414,0.0458267909872879
0.8963,0.1925,0.0283874649269598,0.0699461546648078
1.0018,0.2607,0.0269942151145937,0.124543623353012
1.0455,0.2929,0.036398651348065,0.214662336729928
1.307,0.5387,0.0430165879568041,0.201944854063599
1.387,0.6334,0.042319963050621,0.362448255990368
1.3056,0.5371,0.045280618901899,0.496858891756911
1.4357,0.696,0.0492862121124516,0.574260122467498
1.5476,0.8541,0.0459772438080821,0.761952625267107
1.5698,0.888,0.0400559321055261,1
1.5229,0.8174,0.0337863079498785,1
1.5776,0.9,0.0337863079498785,1
