susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00479261570958229,0.0011173041683332
0.3537,0.0152,0.0046524807473138,0.000782112917833243
0.3998,0.0213,0.00260651029819388,0.0106143895991654
0.4318,0.0262,0.00210202443402732,0.00580998167533266
0.6081,0.0668,0.00168161954722186,0.00670382500999923
0.7004,0.0982,0.0011771336830553,0.0140780325209984
0.7152,0.1039,0.00176570052458295,0.0130724587694985
0.6895,0.0941,0.00252242932083278,0.0140780325209984
0.7075,0.1009,0.00336323909444371,0.0210053183646642
0.766,0.1253,0.00454037277749901,0.023351657118164
0.8963,0.1925,0.00456839976995271,0.0356420029698292
1.0018,0.2607,0.00434418383032313,0.063462876761326
1.0455,0.2929,0.0058576414228228,0.109384078079821
1.307,0.5387,0.00692266713606331,0.102903713903488
1.387,0.6334,0.00681055916624852,0.184690379025479
1.3056,0.5371,0.00728701803796138,0.253181124544304
1.4357,0.696,0.00793163886439642,0.292621961686466
1.5476,0.8541,0.00739912600777617,0.388263198495789
1.5698,0.888,0.00644620826435045,0.645913539713426
1.5229,0.8174,0.00543723653601733,1
1.5776,0.9,0.00543723653601733,0.889262387576398
