susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0573755638384659,0.00255597266828809
0.3537,0.0152,0.0556979157730136,0.00178918086780167
0.3998,0.0213,0.0312042540174113,0.0242817403487369
0.4318,0.0262,0.0251647209817833,0.0132910578750981
0.6081,0.0668,0.0201317767854266,0.0153358360097286
0.7004,0.0982,0.0140922437497986,0.03220525562043
0.7152,0.1039,0.0211383656246979,0.0299048802189707
0.6895,0.0941,0.0301976651781399,0.03220525562043
0.7075,0.1009,0.0402635535708532,0.0480522861638162
0.766,0.1253,0.0543557973206519,0.0534198287672212
0.8963,0.1925,0.0546913269337423,0.0815355281183902
1.0018,0.2607,0.0520070900290188,0.145179247558764
1.0455,0.2929,0.0701256891359027,0.250229724225404
1.307,0.5387,0.0828758144333396,0.235405082749333
1.387,0.6334,0.0815336959809778,0.422502282068022
1.3056,0.5371,0.0872376994035153,0.579183406634082
1.4357,0.696,0.0949548805045955,0.669409241824652
1.5476,0.8541,0.0885798178558771,0.888200502230112
1.5698,0.888,0.077171811010802,1
1.5229,0.8174,0.0650927449395461,1
1.5776,0.9,0.0650927449395461,1
