susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0108070862951857,0.00149128582592233
0.3537,0.0152,0.0104910896198879,0.00104390007814563
0.3998,0.0213,0.00587753816053961,0.0141672153462621
0.4318,0.0262,0.00473995012946742,0.00775468629479609
0.6081,0.0668,0.00379196010357394,0.00894771495553395
0.7004,0.0982,0.00265437207250176,0.0187902014066213
0.7152,0.1039,0.00398155810875264,0.0174480441632912
0.6895,0.0941,0.00568794015536091,0.0187902014066213
0.7075,0.1009,0.00758392020714788,0.0280361735273397
0.766,0.1253,0.0102382922796496,0.0311678737617766
0.8963,0.1925,0.0103014916147092,0.0475720178469222
1.0018,0.2607,0.00979589693423268,0.0847050349123881
1.0455,0.2929,0.0132086610274492,0.145996882357796
1.307,0.5387,0.0156102357597127,0.137347424567446
1.387,0.6334,0.0153574384194745,0.24650954702496
1.3056,0.5371,0.0164318271154871,0.337925368153999
1.4357,0.696,0.0178854118218571,0.390567757809057
1.5476,0.8541,0.0166846244557253,0.518221824508008
1.5698,0.888,0.0145358470637001,0.862112335965697
1.5229,0.8174,0.0122606710015557,1
1.5776,0.9,0.0122606710015557,1
