susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00630034234675872,0.00124078351428733
0.3537,0.0152,0.00611612181030379,0.000868548460001134
0.3998,0.0213,0.00342650197806176,0.0117874433857297
0.4318,0.0262,0.002763308046824,0.00645207427429414
0.6081,0.0668,0.0022106464374592,0.00744470108572401
0.7004,0.0982,0.00154745250622144,0.0156338722800204
0.7152,0.1039,0.00232117875933216,0.0145171671171618
0.6895,0.0941,0.0033159696561888,0.0156338722800204
0.7075,0.1009,0.0044212928749184,0.0233267300686019
0.766,0.1253,0.00596874538113984,0.0259323754486053
0.8963,0.1925,0.00600558948843083,0.039580994105766
1.0018,0.2607,0.00571083663010293,0.0704765036115206
1.0455,0.2929,0.00770041842381621,0.12147270604873
1.307,0.5387,0.00910049450087371,0.114276161665864
1.387,0.6334,0.00895311807170976,0.205101514911696
1.3056,0.5371,0.00957946789565653,0.28116154433751
1.4357,0.696,0.0104268823633492,0.324961202391853
1.5476,0.8541,0.00972684432482048,0.431172271214849
1.5698,0.888,0.00847414467692693,0.717296949609508
1.5229,0.8174,0.00714775681445141,1
1.5776,0.9,0.00714775681445141,0.98753959902129
