susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0459442096269532,0.00228678519598742
0.3537,0.0152,0.0446008116846446,0.00160074963719119
0.3998,0.0213,0.0249872017269395,0.0217244593618805
0.4318,0.0262,0.0201509691346286,0.0118912830191346
0.6081,0.0668,0.0161207753077029,0.0137207111759245
0.7004,0.0982,0.011284542715392,0.0288134934694415
0.7152,0.1039,0.016926814073088,0.0267553867930528
0.6895,0.0941,0.0241811629615543,0.0288134934694415
0.7075,0.1009,0.0322415506154058,0.0429915616845635
0.766,0.1253,0.0435260933307978,0.047793810596137
0.8963,0.1925,0.0437947729192595,0.0729484477519986
1.0018,0.2607,0.0416453362115658,0.129889399132085
1.0455,0.2929,0.0561540339884984,0.223876270687168
1.307,0.5387,0.0663638583500435,0.210612916550441
1.387,0.6334,0.0652891399961967,0.37800559289672
1.3056,0.5371,0.0698566930000458,0.518185525410749
1.4357,0.696,0.0760363235346653,0.598909042829105
1.5476,0.8541,0.0709314113538927,0.794657855605628
1.5698,0.888,0.0617963053461944,1
1.5229,0.8174,0.0521238401615727,1
1.5776,0.9,0.0521238401615727,1
