susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0166943325300552,0.00122915627894322
0.3537,0.0152,0.0162061941519834,0.000860409395260253
0.3998,0.0213,0.00907937383213526,0.0116769846499606
0.4318,0.0262,0.00732207567107682,0.00639161265050473
0.6081,0.0668,0.00585766053686146,0.00737493767365931
0.7004,0.0982,0.00410036237580302,0.0154873691146846
0.7152,0.1039,0.00615054356370453,0.0143811284636357
0.6895,0.0941,0.00878649080529219,0.0154873691146846
0.7075,0.1009,0.0117153210737229,0.0231081380441325
0.766,0.1253,0.0158156834495259,0.0256893662299133
0.8963,0.1925,0.0159133111251403,0.0392100852982887
1.0018,0.2607,0.0151322897202254,0.0698160766439748
1.0455,0.2929,0.0204041842034007,0.120334399708541
1.307,0.5387,0.0241140358767463,0.11320529329067
1.387,0.6334,0.0237235251742889,0.203179532909314
1.3056,0.5371,0.025383195659733,0.278526812808533
1.4357,0.696,0.0276286321988632,0.321916029455229
1.5476,0.8541,0.0257737063621904,0.427131806932768
1.5698,0.888,0.0224543653913023,0.710575244857075
1.5229,0.8174,0.0189397690691854,1
1.5776,0.9,0.0189397690691854,0.978285482410908
