susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0212355969983019,0.001548843072681
0.3537,0.0152,0.0206146731094627,0.0010841901508767
0.3998,0.0213,0.0115491843324098,0.0147140091904695
0.4318,0.0262,0.00931385833258856,0.00805398397794122
0.6081,0.0668,0.00745108666607085,0.00929305843608602
0.7004,0.0982,0.0052157606662496,0.0195154227157807
0.7152,0.1039,0.00782364099937439,0.0181214639503678
0.6895,0.0941,0.0111766299991063,0.0195154227157807
0.7075,0.1009,0.0149021733321417,0.0291182497664029
0.766,0.1253,0.0201179339983913,0.032370820219033
0.8963,0.1925,0.0202421187761592,0.049408094018524
1.0018,0.2607,0.0192486405540164,0.087974286528281
1.0455,0.2929,0.0259546185534801,0.15163173681547
1.307,0.5387,0.0306736401086583,0.14264844699392
1.387,0.6334,0.030176900997587,0.25602375991417
1.3056,0.5371,0.0322880422196404,0.350967840269516
1.4357,0.696,0.0351442921083008,0.405642000735155
1.5476,0.8541,0.0327847813307118,0.538222967756649
1.5698,0.888,0.0285624988866049,0.895386180316889
1.5229,0.8174,0.0240918468869624,1
1.5776,0.9,0.0240918468869624,1
