susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0203477260845393,0.00146159491060499
0.3537,0.0152,0.0197527633335294,0.00102311643742349
0.3998,0.0213,0.0110663071687846,0.0138851516507474
0.4318,0.0262,0.00892444126514884,0.00760029353514593
0.6081,0.0668,0.00713955301211907,0.00876956946362992
0.7004,0.0982,0.00499768710848335,0.0184160958736228
0.7152,0.1039,0.00749653066272502,0.0171006604540783
0.6895,0.0941,0.0107093295181786,0.0184160958736228
0.7075,0.1009,0.0142791060242381,0.0274779843193738
0.766,0.1253,0.0192767931327215,0.0305473336316442
0.8963,0.1925,0.0193957856829235,0.0466248776482991
1.0018,0.2607,0.0184438452813076,0.0830185909223633
1.0455,0.2929,0.0248694429922148,0.143090141748228
1.307,0.5387,0.0293911598998902,0.134612891266719
1.387,0.6334,0.0289151896990822,0.241601638723004
1.3056,0.5371,0.030938063052516,0.33119740674309
1.4357,0.696,0.0336748917071616,0.382791707087446
1.5476,0.8541,0.0314140332533239,0.507904231435233
1.5698,0.888,0.0273682865464564,0.844948017820743
1.5229,0.8174,0.023084554739185,1
1.5776,0.9,0.023084554739185,1
