susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0693254101828585,0.00507174353940306
0.3537,0.0152,0.067298351405582,0.00355022047758214
0.3998,0.0213,0.0377032932573441,0.0481815636243291
0.4318,0.0262,0.0304058816591485,0.0263730664048959
0.6081,0.0668,0.0243247053273188,0.0304304612364184
0.7004,0.0982,0.0170272937291231,0.0639039685964786
0.7152,0.1039,0.0255409405936847,0.0593393994110158
0.6895,0.0941,0.0364870579909782,0.0639039685964786
0.7075,0.1009,0.0486494106546376,0.0953487785407776
0.766,0.1253,0.0656767043837607,0.105999439973524
0.8963,0.1925,0.066082116139216,0.161788618906958
1.0018,0.2607,0.0628388220955735,0.288075033038094
1.0455,0.2929,0.0847310568901604,0.49652369250756
1.307,0.5387,0.100136703597462,0.467107579979022
1.387,0.6334,0.0985150565756411,0.838359207063326
1.3056,0.5371,0.105407056418381,1
1.4357,0.696,0.114731526793854,1
1.5476,0.8541,0.107028703440203,1
1.5698,0.888,0.093244703754722,1
1.5229,0.8174,0.0786498805583307,1
1.5776,0.9,0.0786498805583307,1
