susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00850188388964463,0.00130312727130744
0.3537,0.0152,0.00825329079345619,0.00091218908991521
0.3998,0.0213,0.00462383158910497,0.0123797090774207
0.4318,0.0262,0.00372889644282659,0.0067762618107987
0.6081,0.0668,0.00298311715426127,0.00781876362784465
0.7004,0.0982,0.00208818200798289,0.0164194036184738
0.7152,0.1039,0.00313227301197434,0.0152465890742971
0.6895,0.0941,0.00447467573139191,0.0164194036184738
0.7075,0.1009,0.00596623430852255,0.0244987927005799
0.766,0.1253,0.00805441631650544,0.0272353599703255
0.8963,0.1925,0.00810413493574313,0.0415697599547074
1.0018,0.2607,0.00770638598184162,0.0740176290102627
1.0455,0.2929,0.0103911914206768,0.127576159860999
1.307,0.5387,0.0122804989517089,0.120018021687415
1.387,0.6334,0.0120816244747582,0.21540693794712
1.3056,0.5371,0.0129268410017989,0.295288639678266
1.4357,0.696,0.0140703692442657,0.341289032355419
1.5476,0.8541,0.0131257154787496,0.452836726779336
1.5698,0.888,0.0114352824246682,0.753337875542832
1.5229,0.8174,0.00964541213211145,1
1.5776,0.9,0.00964541213211145,1
