susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0197427785378974,0.00172564398406768
0.3537,0.0152,0.0191655043116431,0.00120795078884737
0.3998,0.0213,0.0107373006083302,0.0163936178486429
0.4318,0.0262,0.00865911339381467,0.00897334871715192
0.6081,0.0668,0.00692729071505173,0.0103538639044061
0.7004,0.0982,0.00484910350053621,0.0217431141992527
0.7152,0.1039,0.00727365525080432,0.0201900346135918
0.6895,0.0941,0.0103909360725776,0.0217431141992527
0.7075,0.1009,0.0138545814301035,0.0324421069004723
0.766,0.1253,0.0187036849306397,0.0360659592670144
0.8963,0.1925,0.0188191397758905,0.0550480430917589
1.0018,0.2607,0.0178955010138836,0.098016578295044
1.0455,0.2929,0.0241300626574302,0.168940546040226
1.307,0.5387,0.028517346776963,0.158931810932633
1.387,0.6334,0.0280555273959595,0.285248950566387
1.3056,0.5371,0.0300182597652242,0.391030926789736
1.4357,0.696,0.032673721205994,0.451946159427325
1.5476,0.8541,0.0304800791462276,0.599661284463518
1.5698,0.888,0.0265546144076983,0.997594787189524
1.5229,0.8174,0.0223982399786673,1
1.5776,0.9,0.0223982399786673,1
