susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0134568391599394,0.00162691073899775
0.3537,0.0152,0.0130633643307014,0.00113883751729842
0.3998,0.0213,0.00731863182382669,0.0154556520204786
0.4318,0.0262,0.00590212243856991,0.00845993584278828
0.6081,0.0668,0.00472169795085593,0.00976146443398647
0.7004,0.0982,0.00330518856559915,0.0204990753113716
0.7152,0.1039,0.00495778284839872,0.0190348556462736
0.6895,0.0941,0.00708254692628389,0.0204990753113716
0.7075,0.1009,0.00944339590171186,0.0305859218931576
0.766,0.1253,0.012748584467311,0.0340024344450529
0.8963,0.1925,0.0128272794331586,0.0518984525740281
1.0018,0.2607,0.0121977197063778,0.092408529975072
1.0455,0.2929,0.0164472478621481,0.159274561347879
1.307,0.5387,0.0194376565643569,0.149838479061692
1.387,0.6334,0.0191228767009665,0.268928345156327
1.3056,0.5371,0.0204606911203757,0.368657973456889
1.4357,0.696,0.0222706753348705,0.42608792254351
1.5476,0.8541,0.0207754709837661,0.565351481801717
1.5698,0.888,0.0180998421449477,0.940517098214597
1.5229,0.8174,0.0152668233744342,1
1.5776,0.9,0.0152668233744342,1
