susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.030611477699627,0.00199729957077449
0.3537,0.0152,0.0297164052522695,0.00139810969954215
0.3998,0.0213,0.0166483475208498,0.0189743459223577
0.4318,0.0262,0.0134260867103627,0.0103859577680274
0.6081,0.0668,0.0107408693682902,0.011983797424647
0.7004,0.0982,0.00751860855780312,0.0251659745917586
0.7152,0.1039,0.0112779128367047,0.0233684049780616
0.6895,0.0941,0.0161113040524353,0.0251659745917586
0.7075,0.1009,0.0214817387365803,0.0375492319305605
0.766,0.1253,0.0290003472943835,0.0417435610291869
0.8963,0.1925,0.029179361783855,0.0637138563077063
1.0018,0.2607,0.0277472458680829,0.113446615619991
1.0455,0.2929,0.0374140282995441,0.195535627978823
1.307,0.5387,0.0442165788994612,0.183951290468331
1.387,0.6334,0.0435005209415752,0.330153619049024
1.3056,0.5371,0.0465437672625908,0.4525880827375
1.4357,0.696,0.0506611005204353,0.52309275758584
1.5476,0.8541,0.0472598252204768,0.694061600844137
1.5698,0.888,0.0411733325784457,1
1.5229,0.8174,0.0347288109574716,1
1.5776,0.9,0.0347288109574716,1
