susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0185847685225136,0.0013889054240741
0.3537,0.0152,0.0180413542382296,0.000972233796851866
0.3998,0.0213,0.0101075056876828,0.0131946015287039
0.4318,0.0262,0.00815121426426035,0.00722230820518529
0.6081,0.0668,0.00652097141140828,0.00833343254444457
0.7004,0.0982,0.0045646799879858,0.0175002083433336
0.7152,0.1039,0.0068470199819787,0.0162501934616669
0.6895,0.0941,0.00978145711711242,0.0175002083433336
0.7075,0.1009,0.0130419428228166,0.026111421972593
0.766,0.1253,0.0176066228108024,0.0290281233631486
0.8963,0.1925,0.0177153056676592,0.0443060830279636
1.0018,0.2607,0.0168458428128047,0.0788898280874086
1.0455,0.2929,0.0227147170830722,0.135973841016854
1.307,0.5387,0.0268446656436308,0.127918189557224
1.387,0.6334,0.0264099342162035,0.229586066599448
1.3056,0.5371,0.0282575427827692,0.31472596909519
1.4357,0.696,0.0307572484904757,0.363754330565006
1.5476,0.8541,0.0286922742101964,0.482644634865748
1.5698,0.888,0.0249970570770651,0.802926225657234
1.5229,0.8174,0.0210844742302201,1
1.5776,0.9,0.0210844742302201,1
