susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0211690182029542,0.00160884271168516
0.3537,0.0152,0.0205500410625169,0.00112618989817961
0.3998,0.0213,0.011512974812133,0.0152840057610091
0.4318,0.0262,0.00928465710655886,0.00836598210076285
0.6081,0.0668,0.00742772568524709,0.00965305627011098
0.7004,0.0982,0.00519940797967296,0.0202714181672331
0.7152,0.1039,0.00779911196950944,0.0188234597267164
0.6895,0.0941,0.0111415885278706,0.0202714181672331
0.7075,0.1009,0.0148554513704942,0.0302462429796811
0.766,0.1253,0.0200548593501671,0.0336248126742199
0.8963,0.1925,0.0201786547782546,0.0513220825027567
1.0018,0.2607,0.019188291353555,0.0913822660237173
1.0455,0.2929,0.0258732444702774,0.157505701473978
1.307,0.5387,0.0305774707376005,0.148174413746204
1.387,0.6334,0.0300822890252507,0.265941700241558
1.3056,0.5371,0.0321868113027374,0.364563758467858
1.4357,0.696,0.0350341061487488,0.421355906190345
1.5476,0.8541,0.0326819930150872,0.559072842310595
1.5698,0.888,0.0284729484601138,0.930071971625193
1.5229,0.8174,0.0240163130489656,1
1.5776,0.9,0.0240163130489656,1
