susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0157443317655846,0.00121751097297848
0.3537,0.0152,0.0152839711876435,0.000852257681084936
0.3998,0.0213,0.0085627067497039,0.0115663542432956
0.4318,0.0262,0.00690540866911605,0.0063310570594881
0.6081,0.0668,0.00552432693529284,0.00730506583787088
0.7004,0.0982,0.00386702885470499,0.0153406382595289
0.7152,0.1039,0.00580054328205748,0.0142448783838482
0.6895,0.0941,0.00828649040293926,0.0153406382595289
0.7075,0.1009,0.0110486538705857,0.0228892062919954
0.766,0.1253,0.0149156827252907,0.0254459793352502
0.8963,0.1925,0.0150077548408789,0.0388386000380135
1.0018,0.2607,0.0142711779161732,0.0691546232651777
1.0455,0.2929,0.0192430721579367,0.119194324254593
1.307,0.5387,0.0227418125502888,0.112132760611318
1.387,0.6334,0.022373524087936,0.201254563833343
1.3056,0.5371,0.0239387500529356,0.275887986476924
1.4357,0.696,0.0260564087114645,0.318866123823064
1.5476,0.8541,0.0243070385152885,0.423085063110022
1.5698,0.888,0.0211765865852892,0.70384309347886
1.5229,0.8174,0.0178619904241135,1
1.5776,0.9,0.0178619904241135,0.969016983393573
