susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0186830351043365,0.00141005360306419
0.3537,0.0152,0.0181367475281863,0.000987037522144936
0.3998,0.0213,0.0101609489163935,0.0133955092291098
0.4318,0.0262,0.00819431364225284,0.00733227873593381
0.6081,0.0668,0.00655545091380227,0.00846032161838516
0.7004,0.0982,0.00458881563966159,0.0177666753986088
0.7152,0.1039,0.00688322345949239,0.0164976271558511
0.6895,0.0941,0.00983317637070341,0.0177666753986088
0.7075,0.1009,0.0131109018276045,0.0265090077376068
0.766,0.1253,0.0176997174672661,0.0294701203040417
0.8963,0.1925,0.0178089749824962,0.0449807099377478
1.0018,0.2607,0.0169349148606559,0.0800910446540462
1.0455,0.2929,0.0228348206830779,0.138044247739985
1.307,0.5387,0.0269866062618194,0.129865936842212
1.387,0.6334,0.0265495762008992,0.233081860586511
1.3056,0.5371,0.0284069539598099,0.319518146454346
1.4357,0.696,0.0309198768101007,0.369293038642512
1.5476,0.8541,0.02884398402073,0.489993627064807
1.5698,0.888,0.0251292285029087,0.815151987931411
1.5229,0.8174,0.0211959579546274,1
1.5776,0.9,0.0211959579546274,1
