susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0214139632899941,0.00157143954690236
0.3537,0.0152,0.0207878240125089,0.00110000768283165
0.3998,0.0213,0.0116461905612249,0.0149286756955724
0.4318,0.0262,0.00939208916227813,0.00817148564389228
0.6081,0.0668,0.00751367132982251,0.00942863728141417
0.7004,0.0982,0.00525956993087575,0.0198001382909698
0.7152,0.1039,0.00788935489631363,0.0183858426987576
0.6895,0.0941,0.0112705069947338,0.0198001382909698
0.7075,0.1009,0.015027342659645,0.0295430634817644
0.766,0.1253,0.0202869125905208,0.0328430865302593
0.8963,0.1925,0.0204121404460178,0.0501289215461853
1.0018,0.2607,0.0194103176020415,0.0892577662640541
1.0455,0.2929,0.0261726217988817,0.153843931641741
1.307,0.5387,0.0309312803077693,0.144729582269707
1.387,0.6334,0.0304303688857812,0.25975895710296
1.3056,0.5371,0.0325592424292309,0.356088201328075
1.4357,0.696,0.0354394831056628,0.411560017333728
1.5476,0.8541,0.033060153851219,0.54607524254857
1.5698,0.888,0.0288024067643196,0.908449202064255
1.5229,0.8174,0.0242942039664261,1
1.5776,0.9,0.0242942039664261,1
