susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00618477018766391,0.00124508218065717
0.3537,0.0152,0.00600392895410648,0.00087155752646002
0.3998,0.0213,0.00336364694416809,0.0118282807162431
0.4318,0.0262,0.00271261850336136,0.00647442733941729
0.6081,0.0668,0.00217009480268909,0.00747049308394303
0.7004,0.0982,0.00151906636188236,0.0156880354762804
0.7152,0.1039,0.00227859954282354,0.0145674615136889
0.6895,0.0941,0.00325514220403364,0.0156880354762804
0.7075,0.1009,0.00434018960537818,0.0234075449963548
0.766,0.1253,0.00585925596726054,0.0260222175757349
0.8963,0.1925,0.00589542421397203,0.0397181215629638
1.0018,0.2607,0.00560607824028015,0.0707206678613274
1.0455,0.2929,0.00755916356270033,0.121893545486337
1.307,0.5387,0.00893355693773676,0.114672068838526
1.387,0.6334,0.00878888395089082,0.20581208446263
1.3056,0.5371,0.00940374414498606,0.282135622136915
1.4357,0.696,0.0102356138193502,0.326087023114113
1.5476,0.8541,0.009548417131832,0.432666057778367
1.5698,0.888,0.00831869674364152,0.719782008637911
1.5229,0.8174,0.00701663986202806,1
1.5776,0.9,0.00701663986202806,0.990960907585043
