susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0185768964195724,0.00181150870444863
0.3537,0.0152,0.018033712313737,0.00126805609311404
0.3998,0.0213,0.0101032243685394,0.017209332692262
0.4318,0.0262,0.00814776158753177,0.00941984526313289
0.6081,0.0668,0.00651820927002542,0.0108690522266918
0.7004,0.0982,0.00456274648901779,0.0228250096760528
0.7152,0.1039,0.00684411973352669,0.021194651842049
0.6895,0.0941,0.00977731390503813,0.0228250096760528
0.7075,0.1009,0.0130364185400508,0.0340563636436343
0.766,0.1253,0.0175991650290686,0.0378605319229764
0.8963,0.1925,0.0177078018502357,0.0577871276719114
1.0018,0.2607,0.016838707280899,0.102893694412682
1.0455,0.2929,0.0227050956239219,0.177346702165521
1.307,0.5387,0.0268332948282713,0.166839951679719
1.387,0.6334,0.0263987475436029,0.299442388845359
1.3056,0.5371,0.0282455735034435,0.41048787242806
1.4357,0.696,0.0307442203902866,0.474434129695097
1.5476,0.8541,0.0286801207881118,0.6294992747959
1.5698,0.888,0.0249864688684308,1
1.5229,0.8174,0.0210755433064155,1
1.5776,0.9,0.0210755433064155,1
