susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.014648662943235,0.00107497561037656
0.3537,0.0152,0.0142203394653626,0.000752482927263589
0.3998,0.0213,0.00796681668842605,0.0102122682985773
0.4318,0.0262,0.00642485216808552,0.00558987317395809
0.6081,0.0668,0.00513988173446842,0.00644985366225933
0.7004,0.0982,0.00359791721412789,0.0135446926907446
0.7152,0.1039,0.00539687582119184,0.0125772146414057
0.6895,0.0941,0.00770982260170263,0.0135446926907446
0.7075,0.1009,0.0102797634689368,0.0202095414750792
0.766,0.1253,0.0138776806830647,0.02246699025687
0.8963,0.1925,0.0139633453786392,0.0342917219710121
1.0018,0.2607,0.0132780278140434,0.0610586146693884
1.0455,0.2929,0.017903921375065,0.105240112255865
1.307,0.5387,0.021159179806895,0.0990052537156808
1.387,0.6334,0.0208165210245971,0.177693468395245
1.3056,0.5371,0.0222728208493632,0.243589473311327
1.4357,0.696,0.024243108847576,0.28153611235762
1.5476,0.8541,0.022615479631661,0.373554024605853
1.5698,0.888,0.0197028799821289,0.621443400358687
1.5229,0.8174,0.0166189509414479,1
1.5776,0.9,0.0166189509414479,0.855573088298701
