susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0781736290604863,0.00288410748426235
0.3537,0.0152,0.0758878504329867,0.00201887523898364
0.3998,0.0213,0.0425154824714925,0.0273990211004923
0.4318,0.0262,0.034286679412494,0.0149973589181642
0.6081,0.0668,0.0274293435299952,0.0173046449055741
0.7004,0.0982,0.0192005404709966,0.0363397543017056
0.7152,0.1039,0.0288008107064949,0.0337440575658695
0.6895,0.0941,0.0411440152949928,0.0363397543017056
0.7075,0.1009,0.0548586870599904,0.0542212207041321
0.766,0.1253,0.074059227530987,0.0602778464210831
0.8963,0.1925,0.0745163832564869,0.0920030287479689
1.0018,0.2607,0.0708591374524876,0.163817305106101
1.0455,0.2929,0.0955455466294832,0.282354122709284
1.307,0.5387,0.11291746419848,0.265626299300562
1.387,0.6334,0.111088841296481,0.476742967148566
1.3056,0.5371,0.118860488629979,0.653538755933848
1.4357,0.696,0.129375070316477,0.755347750128309
1.5476,0.8541,0.120689111531979,1
1.5698,0.888,0.105145816864982,1
1.5229,0.8174,0.0886882107469844,1
1.5776,0.9,0.0886882107469844,1
