susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0270968586844366,0.00199046035587612
0.3537,0.0152,0.0263045528749502,0.00139332224911328
0.3998,0.0213,0.014736888056448,0.0189093733808231
0.4318,0.0262,0.0118845871422968,0.0103503938505558
0.6081,0.0668,0.00950766971383741,0.0119427621352567
0.7004,0.0982,0.00665536879968619,0.0250798004840391
0.7152,0.1039,0.00998305319952928,0.0232883861637506
0.6895,0.0941,0.0142615045707561,0.0250798004840391
0.7075,0.1009,0.0190153394276748,0.037420654690471
0.766,0.1253,0.025670708227361,0.0416006214378109
0.8963,0.1925,0.0258291693892583,0.0634956853524482
1.0018,0.2607,0.02456148009408,0.113058148213764
1.0455,0.2929,0.0331183828365336,0.194866068840272
1.307,0.5387,0.0391399069886307,0.183321398776191
1.387,0.6334,0.0385060623410415,0.329023096826322
1.3056,0.5371,0.0411999020932954,0.451038316641529
1.4357,0.696,0.0448445088169331,0.521301567203956
1.5476,0.8541,0.0418337467408846,0.691684973666951
1.5698,0.888,0.0364460672363767,1
1.5229,0.8174,0.0307414654080743,1
1.5776,0.9,0.0307414654080743,1
