susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.012571547710127,0.000917929465266777
0.3537,0.0152,0.0122039585957958,0.000642550625686743
0.3998,0.0213,0.00683715752656029,0.00872032992003438
0.4318,0.0262,0.00551383671496797,0.00477323321938724
0.6081,0.0668,0.00441106937197438,0.00550757679160066
0.7004,0.0982,0.00308774856038206,0.0115659112623614
0.7152,0.1039,0.0046316228405731,0.0107397747436213
0.6895,0.0941,0.00661660405796157,0.0115659112623614
0.7075,0.1009,0.00882213874394876,0.0172570739470154
0.766,0.1253,0.0119098873043308,0.0191847258240756
0.8963,0.1925,0.0119834051271971,0.0292819499420102
1.0018,0.2607,0.0113952625442671,0.0521383936271529
1.0455,0.2929,0.0153652249790441,0.0898652946496174
1.307,0.5387,0.0181589022479612,0.0845413037510701
1.387,0.6334,0.0178648309564962,0.151733740608598
1.3056,0.5371,0.0191146339452223,0.208002816829452
1.4357,0.696,0.0208055438711458,0.240405726953369
1.5476,0.8541,0.0194087052366873,0.318980489180205
1.5698,0.888,0.0169090992592351,0.530655023870723
1.5229,0.8174,0.0142624576360505,0.873501679147864
1.5776,0.9,0.0142624576360505,0.730580061405827
