susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0106166554030667,0.000775190218560621
0.3537,0.0152,0.0103062268825092,0.000542633152992435
0.3998,0.0213,0.00577397048236959,0.0073643070763259
0.4318,0.0262,0.00465642780836257,0.00403098913651523
0.6081,0.0668,0.00372514224669005,0.00465114131136373
0.7004,0.0982,0.00260759957268304,0.00976739675386383
0.7152,0.1039,0.00391139935902456,0.00906972555715927
0.6895,0.0941,0.00558771337003508,0.00976739675386383
0.7075,0.1009,0.00745028449338011,0.0145735761089397
0.766,0.1253,0.0100578840660631,0.016201475567917
0.8963,0.1925,0.0101199697701746,0.0247285679720838
1.0018,0.2607,0.00962328413728264,0.0440308044142433
1.0455,0.2929,0.0129759121593037,0.0758911223970848
1.307,0.5387,0.0153351689155407,0.0713950191294332
1.387,0.6334,0.0150868260990947,0.128138943128071
1.3056,0.5371,0.0161422830689902,0.175658103525837
1.4357,0.696,0.0175702542635548,0.203022318241027
1.5476,0.8541,0.0163906258854362,0.269378600949816
1.5698,0.888,0.0142797119456452,0.448137465349895
1.5229,0.8174,0.0120446265976312,0.737671011982287
1.5776,0.9,0.0120446265976312,0.616973894952398
