susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0222998415194046,0.00169478514101431
0.3537,0.0152,0.0216477993697144,0.00118634959871002
0.3998,0.0213,0.0121279839842376,0.016100458839636
0.4318,0.0262,0.00978063224535289,0.00881288273327443
0.6081,0.0668,0.00782450579628231,0.0101687108460859
0.7004,0.0982,0.00547715405739762,0.0213542927767803
0.7152,0.1039,0.00821573108609643,0.0198289861498675
0.6895,0.0941,0.0117367586944235,0.0213542927767803
0.7075,0.1009,0.0156490115925646,0.0318619606510691
0.766,0.1253,0.0211261656499622,0.0354210094471991
0.8963,0.1925,0.0212565740799003,0.0540636459983566
1.0018,0.2607,0.020213306640396,0.096263796009613
1.0455,0.2929,0.0272553618570501,0.165919465305301
1.307,0.5387,0.0322108821946955,0.156089711487418
1.387,0.6334,0.0316892484749434,0.280147983809666
1.3056,0.5371,0.03390619178389,0.384038312953843
1.4357,0.696,0.0369055856724649,0.443864228431649
1.5476,0.8541,0.0344278255036422,0.588937836502474
1.5698,0.888,0.0299939388857489,0.979755290020374
1.5229,0.8174,0.0252992354079795,1
1.5776,0.9,0.0252992354079795,1
