susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0164163108252606,0.00172391302438997
0.3537,0.0152,0.0159363017368027,0.00120673911707298
0.3998,0.0213,0.00892816904531715,0.0163771737317047
0.4318,0.0262,0.00720013632686867,0.00896434772682784
0.6081,0.0668,0.00576010906149494,0.0103434781463398
0.7004,0.0982,0.00403207634304646,0.0217213041073136
0.7152,0.1039,0.00604811451456968,0.0201697823853627
0.6895,0.0941,0.0086401635922424,0.0217213041073136
0.7075,0.1009,0.0115202181229899,0.0324095648585314
0.766,0.1253,0.0155522944660363,0.0360297822097504
0.8963,0.1925,0.0156482962837279,0.05499282547804
1.0018,0.2607,0.0148802817421953,0.0979182597853503
1.0455,0.2929,0.0200643798975407,0.168771085087778
1.307,0.5387,0.0237124489698208,0.158772389546316
1.387,0.6334,0.0233284416990545,0.284962822931662
1.3056,0.5371,0.0249604725998114,0.390638691326767
1.4357,0.696,0.0271685144067178,0.451492821087733
1.5476,0.8541,0.0253444798705777,0.599059775975515
1.5698,0.888,0.0220804180690639,0.996594119399842
1.5229,0.8174,0.018624352632167,1
1.5776,0.9,0.018624352632167,1
