susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.155548625383098,0.00361724652365099
0.3537,0.0152,0.15100041996254,0.00253207256655569
0.3998,0.0213,0.0845966208223869,0.0343638419746844
0.4318,0.0262,0.0682230813083765,0.0188096819229852
0.6081,0.0668,0.0545784650467012,0.021703479141906
0.7004,0.0982,0.0382049255326909,0.0455773061980025
0.7152,0.1039,0.0573073882990363,0.0423217843267166
0.6895,0.0941,0.0818676975700518,0.0455773061980025
0.7075,0.1009,0.109156930093402,0.0680042346446387
0.766,0.1253,0.147361855626093,0.0756004523443057
0.8963,0.1925,0.148271496710205,0.115390164104467
1.0018,0.2607,0.140994368037311,0.205459602543376
1.0455,0.2929,0.190114986579343,0.354128434665432
1.307,0.5387,0.224681347775587,0.333148404828256
1.387,0.6334,0.22104278343914,0.597930850359509
1.3056,0.5371,0.236506681869039,0.819668062259315
1.4357,0.696,0.257428426803607,0.947356864544195
1.5476,0.8541,0.240145246205485,1
1.5698,0.888,0.209217449345688,1
1.5229,0.8174,0.176470370317667,1
1.5776,0.9,0.176470370317667,1
