susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0126415350300053,0.00155632574197479
0.3537,0.0152,0.0122718995028122,0.00108942801938235
0.3998,0.0213,0.00687522080579235,0.0147850945487605
0.4318,0.0262,0.00554453290789706,0.0080928938582689
0.6081,0.0668,0.00443562632631765,0.00933795445184873
0.7004,0.0982,0.00310493842842235,0.0196097043488823
0.7152,0.1039,0.00465740764263353,0.018209011181105
0.6895,0.0941,0.00665343948947647,0.0196097043488823
0.7075,0.1009,0.00887125265263529,0.029258923949126
0.766,0.1253,0.0119761910810576,0.0325272080072731
0.8963,0.1925,0.0120501181864963,0.0496467911689957
1.0018,0.2607,0.0114587013429873,0.088399302144168
1.0455,0.2929,0.0154507650366731,0.152364290139332
1.307,0.5387,0.018259995043341,0.143337600835878
1.387,0.6334,0.0179642866215865,0.257260645148432
1.3056,0.5371,0.0192210474140431,0.352663413131487
1.4357,0.696,0.0209213708391316,0.407601711823197
1.5476,0.8541,0.0195167558357977,0.540823195336239
1.5698,0.888,0.0170032342508843,0.899711911435625
1.5229,0.8174,0.0143418584550937,1
1.5776,0.9,0.0143418584550937,1
