susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0580332284212834,0.00258658134162061
0.3537,0.0152,0.0563363503972693,0.00181060693913443
0.3998,0.0213,0.0315619312466629,0.0245725227453958
0.4318,0.0262,0.025453170360212,0.0134502229764272
0.6081,0.0668,0.0203625362881696,0.0155194880497237
0.7004,0.0982,0.0142537754017187,0.0325909249044197
0.7152,0.1039,0.0213806631025781,0.0302630016969612
0.6895,0.0941,0.0305438044322544,0.0325909249044197
0.7075,0.1009,0.0407250725763392,0.0486277292224675
0.766,0.1253,0.054978847978058,0.0540595500398708
0.8963,0.1925,0.0553182235828608,0.0825119447976976
1.0018,0.2607,0.0526032187444382,0.146917820204051
1.0455,0.2929,0.0709295014037908,0.253226313344658
1.307,0.5387,0.0838257743862982,0.238224141563259
1.387,0.6334,0.0824682719670869,0.427561895769888
1.3056,0.5371,0.088237657248735,0.586119332011231
1.4357,0.696,0.0960432961592,0.677425653370439
1.5476,0.8541,0.0895951596679463,0.898837016213163
1.5698,0.888,0.0780563891046502,1
1.5229,0.8174,0.0658388673317484,1
1.5776,0.9,0.0658388673317484,1
