susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0836201393106288,0.00289790523168098
0.3537,0.0152,0.0811751059974525,0.00202853366217668
0.3998,0.0213,0.0454776196250788,0.0275300997009693
0.4318,0.0262,0.0366754996976442,0.0150691072047411
0.6081,0.0668,0.0293403997581154,0.0173874313900859
0.7004,0.0982,0.0205382798306808,0.0365136059191803
0.7152,0.1039,0.0308074197460211,0.0339054912106674
0.6895,0.0941,0.0440105996371731,0.0365136059191803
0.7075,0.1009,0.0586807995162307,0.0544806183556024
0.766,0.1253,0.0792190793469115,0.0605662193421324
0.8963,0.1925,0.0797080860095468,0.0924431768906232
1.0018,0.2607,0.0757960327084647,0.16460101715948
1.0455,0.2929,0.102202392490769,0.283704922181568
1.307,0.5387,0.120784645670908,0.266897071837818
1.387,0.6334,0.118828619020367,0.479023734796866
1.3056,0.5371,0.127141732285167,0.65666532549891
1.4357,0.696,0.138388885525777,0.758961380177248
1.5476,0.8541,0.129097758935708,1
1.5698,0.888,0.112471532406109,1
1.5229,0.8174,0.0948672925512397,1
1.5776,0.9,0.0948672925512397,1
