susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0258234003619858,0.00198804949089975
0.3537,0.0152,0.0250683301759628,0.00139163464362983
0.3998,0.0213,0.0140443054600274,0.0188864701635476
0.4318,0.0262,0.0113260527903446,0.0103378573526787
0.6081,0.0668,0.00906084223227571,0.0119282969453985
0.7004,0.0982,0.006342589562593,0.0250494235853369
0.7152,0.1039,0.0095138843438895,0.0232601790435271
0.6895,0.0941,0.0135912633484136,0.0250494235853369
0.7075,0.1009,0.0181216844645514,0.0373753304289153
0.766,0.1253,0.0244642740271444,0.0415502343598048
0.8963,0.1925,0.024615288064349,0.0634187787597021
1.0018,0.2607,0.0234071757667123,0.112921211083106
1.0455,0.2929,0.0315619337757604,0.194630045159086
1.307,0.5387,0.037300467189535,0.183099358111867
1.387,0.6334,0.0366964110407166,0.328624580845729
1.3056,0.5371,0.0392636496731948,0.450492014637884
1.4357,0.696,0.0427369725289004,0.520670161666645
1.5476,0.8541,0.0398677058220131,0.690847198087664
1.5698,0.888,0.0347332285570569,1
1.5229,0.8174,0.0292967232176915,1
1.5776,0.9,0.0292967232176915,1
