susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00952000275506062,0.00135319630050599
0.3537,0.0152,0.00924164010140388,0.000947237410354193
0.3998,0.0213,0.00517754535801543,0.0128553648548069
0.4318,0.0262,0.00417543980485115,0.00703662076263115
0.6081,0.0668,0.00334035184388092,0.00811917780303594
0.7004,0.0982,0.00233824629071664,0.0170502733863755
0.7152,0.1039,0.00350736943607497,0.0158323967159201
0.6895,0.0941,0.00501052776582138,0.0170502733863755
0.7075,0.1009,0.00668070368776184,0.0254400904495126
0.766,0.1253,0.00901894997847849,0.0282818026805752
0.8963,0.1925,0.00907462250920984,0.0431669619861411
1.0018,0.2607,0.00862924226335905,0.0768615498687402
1.0455,0.2929,0.0116355589228519,0.132477917819536
1.307,0.5387,0.0137511150906431,0.124629379276602
1.387,0.6334,0.0135284249677177,0.22368334847364
1.3056,0.5371,0.0144748579901507,0.306634281694657
1.4357,0.696,0.0157553261969717,0.354402111102519
1.5476,0.8541,0.0146975481130761,0.470235714425831
1.5698,0.888,0.0128046820682102,0.782282781322513
1.5229,0.8174,0.0108004709618816,1
1.5776,0.9,0.0108004709618816,1
