susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0276747911246193,0.00206823493424402
0.3537,0.0152,0.0268655867057708,0.00144776445397082
0.3998,0.0213,0.0150512021905824,0.0196482318753182
0.4318,0.0262,0.0121380662827278,0.0107548216580689
0.6081,0.0668,0.0097104530261822,0.0124094096054641
0.7004,0.0982,0.00679731711832754,0.0260597601714747
0.7152,0.1039,0.0101959756774913,0.0241983487306551
0.6895,0.0941,0.0145656795392733,0.0260597601714747
0.7075,0.1009,0.0194209060523644,0.0388828167637877
0.766,0.1253,0.0262182231706919,0.0432261101257001
0.8963,0.1925,0.0263800640544617,0.0659766944023844
1.0018,0.2607,0.025085336984304,0.117475744265061
1.0455,0.2929,0.033824744707868,0.20248020006249
1.307,0.5387,0.0399746982911167,0.190484437443875
1.387,0.6334,0.0393273347560379,0.341879234630537
1.3056,0.5371,0.0420786297801229,0.468662036099696
1.4357,0.696,0.0458009701068261,0.54167072927851
1.5476,0.8541,0.0427259933152017,0.718711639649798
1.5698,0.888,0.0372234032670318,1
1.5229,0.8174,0.0313971314513225,1
1.5776,0.9,0.0313971314513225,1
