susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0222055171486906,0.00184648520659206
0.3537,0.0152,0.0215562330215359,0.00129253964461444
0.3998,0.0213,0.0120766847650773,0.0175416094626245
0.4318,0.0262,0.00973926190732042,0.00960172307427869
0.6081,0.0668,0.00779140952585633,0.0110789112395523
0.7004,0.0982,0.00545398666809943,0.0232657136030599
0.7152,0.1039,0.00818098000214915,0.0216038769171271
0.6895,0.0941,0.0116871142887845,0.0232657136030599
0.7075,0.1009,0.0155828190517127,0.0347139218839307
0.766,0.1253,0.0210368057198121,0.038591540817774
0.8963,0.1925,0.021166662545243,0.0589028780902866
1.0018,0.2607,0.0201278079417955,0.104880359734429
1.0455,0.2929,0.0271400765150662,0.180770901725362
1.307,0.5387,0.0320746358814419,0.170061287527128
1.387,0.6334,0.0315552085797182,0.305224004649667
1.3056,0.5371,0.0337627746120441,0.41841354781376
1.4357,0.696,0.0367494815969557,0.48359447560646
1.5476,0.8541,0.0342822019137679,0.641653609290739
1.5698,0.888,0.029867069849116,1
1.5229,0.8174,0.0251922241336021,1
1.5776,0.9,0.0251922241336021,1
