susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0465303236322204,0.00236285765669777
0.3537,0.0152,0.0451697878535005,0.00165400035968844
0.3998,0.0213,0.0253059654841901,0.0224471477386288
0.4318,0.0262,0.0204080366807984,0.0122868598148284
0.6081,0.0668,0.0163264293446387,0.0141771459401866
0.7004,0.0982,0.0114285005412471,0.0297720064743919
0.7152,0.1039,0.0171427508118707,0.0276454345833639
0.6895,0.0941,0.0244896440169581,0.0297720064743919
0.7075,0.1009,0.0326528586892775,0.0444217239459181
0.766,0.1253,0.0440813592305246,0.0493837250249834
0.8963,0.1925,0.0443534663862686,0.0753751592486588
1.0018,0.2607,0.0421766091403168,0.134210314900433
1.0455,0.2929,0.0568703955504916,0.231323764590712
1.307,0.5387,0.0672104674687628,0.217619190181865
1.387,0.6334,0.0661220388457869,0.390580370652141
1.3056,0.5371,0.0707478604934346,0.535423545007715
1.4357,0.696,0.0770063250755461,0.618832420289146
1.5476,0.8541,0.0718362891164105,0.821093035702475
1.5698,0.888,0.0625846458211152,1
1.5229,0.8174,0.0527887882143319,1
1.5776,0.9,0.0527887882143319,1
