susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0433423009300368,0.00236934701021181
0.3537,0.0152,0.0420749821893924,0.00165854290714827
0.3998,0.0213,0.0235721285759849,0.0225087965970122
0.4318,0.0262,0.0190097811096653,0.0123206044531014
0.6081,0.0668,0.0152078248877322,0.0142160820612709
0.7004,0.0982,0.0106454774214125,0.0298537723286689
0.7152,0.1039,0.0159682161321188,0.0277213600194782
0.6895,0.0941,0.0228117373315983,0.0298537723286689
0.7075,0.1009,0.0304156497754644,0.0445437237919821
0.766,0.1253,0.041061127196877,0.0495193525134269
0.8963,0.1925,0.0413145909450058,0.0755821696257569
1.0018,0.2607,0.0392868809599749,0.134578910180031
1.0455,0.2929,0.0529739233589339,0.231959072299737
1.307,0.5387,0.0626055457878309,0.218216859640508
1.387,0.6334,0.0615916907953154,0.391653060788013
1.3056,0.5371,0.0659005745135062,0.536894032513997
1.4357,0.696,0.0717302407204702,0.620531981974474
1.5476,0.8541,0.0669144295060217,0.823348086048606
1.5698,0.888,0.0582966620696401,1
1.5229,0.8174,0.0491719671370008,1
1.5776,0.9,0.0491719671370008,1
