susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0347091214776959,0.00268406032664472
0.3537,0.0152,0.0336942348847808,0.0018788422286513
0.3998,0.0213,0.0188768906282206,0.0254985731031248
0.4318,0.0262,0.0152232988937263,0.0139571136985525
0.6081,0.0668,0.012178639114981,0.0161043619598683
0.7004,0.0982,0.00852504738048671,0.0338191601157234
0.7152,0.1039,0.0127875710707301,0.0314035058217432
0.6895,0.0941,0.0182679586724715,0.0338191601157234
0.7075,0.1009,0.024357278229962,0.0504603341409207
0.766,0.1253,0.0328823256104487,0.0560968608268746
0.8963,0.1925,0.0330853029290317,0.0856215244199665
1.0018,0.2607,0.0314614843803676,0.15245462655342
1.0455,0.2929,0.0424222595838505,0.262769505978518
1.307,0.5387,0.0501353976900051,0.247201956083979
1.387,0.6334,0.0493234884156731,0.443675171994372
1.3056,0.5371,0.0527741028315844,0.608208070017693
1.4357,0.696,0.0574425811589937,0.702955399548252
1.5476,0.8541,0.0535860121059164,0.932710963509039
1.5698,0.888,0.0466847832740939,1
1.5229,0.8174,0.0393775998051053,1
1.5776,0.9,0.0393775998051053,1
