susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0291872723171048,0.00213115026792236
0.3537,0.0152,0.0283338433019848,0.00149180518754565
0.3998,0.0213,0.0158737796812325,0.0202459275452624
0.4318,0.0262,0.0128014352268004,0.0110819813931963
0.6081,0.0668,0.0102411481814403,0.0127869016075342
0.7004,0.0982,0.00716880372700821,0.0268524933758217
0.7152,0.1039,0.0107532055905123,0.0249344581346916
0.6895,0.0941,0.0153617222721604,0.0268524933758217
0.7075,0.1009,0.0204822963628806,0.0400656250369404
0.766,0.1253,0.0276511000898888,0.0445410405995773
0.8963,0.1925,0.0278217858929128,0.0679836935467233
1.0018,0.2607,0.0264562994687208,0.12104933521799
1.0455,0.2929,0.035673332832017,0.208639611229599
1.307,0.5387,0.0421593933469292,0.196278939675649
1.387,0.6334,0.0414766501348332,0.352279139287566
1.3056,0.5371,0.0443783087862413,0.482918650711207
1.4357,0.696,0.0483040822557934,0.558148255168866
1.5476,0.8541,0.0450610519983373,0.74057471810302
1.5698,0.888,0.0392577346955211,1
1.5229,0.8174,0.033113045786657,1
1.5776,0.9,0.033113045786657,1
