susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0155372292612209,0.00115603639030405
0.3537,0.0152,0.0150829243120624,0.000809225473212834
0.3998,0.0213,0.00845007205434823,0.0109823457078885
0.4318,0.0262,0.0068145742373776,0.00601138922958106
0.6081,0.0668,0.00545165938990208,0.0069362183418243
0.7004,0.0982,0.00381616157293146,0.014566058517831
0.7152,0.1039,0.00572424235939718,0.0135256257665574
0.6895,0.0941,0.00817748908485312,0.014566058517831
0.7075,0.1009,0.0109033187798042,0.0217334841377161
0.766,0.1253,0.0147194803527356,0.0241611605573546
0.8963,0.1925,0.0148103413425673,0.0368775608506992
1.0018,0.2607,0.0140834534239137,0.06566286696927
1.0455,0.2929,0.0189899468748256,0.113175962610766
1.307,0.5387,0.0224426644884302,0.106470951547003
1.387,0.6334,0.0220792205291034,0.191092815317259
1.3056,0.5371,0.0236238573562424,0.261957846042898
1.4357,0.696,0.0257136601223715,0.302765930620631
1.5476,0.8541,0.0239873013155692,0.401722645630657
1.5698,0.888,0.0208980276612913,0.668304637234771
1.5229,0.8174,0.0176270320273501,1
1.5776,0.9,0.0176270320273501,0.920089363042993
