susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.00870537910196612,0.00139535932224263
0.3537,0.0152,0.00845083585337062,0.000976751525569841
0.3998,0.0213,0.00473450442387631,0.013255913561305
0.4318,0.0262,0.00381814872893251,0.00725586847566168
0.6081,0.0668,0.00305451898314601,0.00837215593345578
0.7004,0.0982,0.00213816328820221,0.0175815274602571
0.7152,0.1039,0.00320724493230331,0.0163257040702388
0.6895,0.0941,0.00458177847471901,0.0175815274602571
0.7075,0.1009,0.00610903796629202,0.0262327552581615
0.766,0.1253,0.00824720125449422,0.029163009834871
0.8963,0.1925,0.00829810990421332,0.0445119623795399
1.0018,0.2607,0.00789084070646052,0.0792564095033814
1.0455,0.2929,0.0106399077912919,0.136605677647554
1.307,0.5387,0.0125744364806177,0.128512593578546
1.387,0.6334,0.0123708018817413,0.230652895966707
1.3056,0.5371,0.013236248926966,0.31618842242018
1.4357,0.696,0.0144071478705053,0.365444606495345
1.5476,0.8541,0.0134398835258424,0.484887364479314
1.5698,0.888,0.011708989435393,0.806657224188465
1.5229,0.8174,0.00987627804550543,1
1.5776,0.9,0.00987627804550543,1
