susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.024666803967252,0.00181614670267438
0.3537,0.0152,0.0239455523892622,0.00127130269187207
0.3998,0.0213,0.0134152793506108,0.0172533936754066
0.4318,0.0262,0.0108187736698474,0.00944396285390678
0.6081,0.0668,0.0086550189358779,0.0108968802160463
0.7004,0.0982,0.00605851325511453,0.0228834484536972
0.7152,0.1039,0.0090877698826718,0.0212489164212902
0.6895,0.0941,0.0129825284038169,0.0228834484536972
0.7075,0.1009,0.0173100378717558,0.0341435580102783
0.766,0.1253,0.0233685511268703,0.0379574660858945
0.8963,0.1925,0.0235128014424683,0.0579350798153127
1.0018,0.2607,0.0223587989176846,0.103157132711905
1.0455,0.2929,0.0301483159599747,0.177800762191822
1.307,0.5387,0.0356298279526974,0.16726711131631
1.387,0.6334,0.0350528266903055,0.300209049952075
1.3056,0.5371,0.0375050820554709,0.411538842826015
1.4357,0.696,0.0408228393142241,0.47564882143042
1.5476,0.8541,0.0380820833178628,0.631110979179347
1.5698,0.888,0.033177572587532,1
1.5229,0.8174,0.0279845612260052,1
1.5776,0.9,0.0279845612260052,1
