susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0210787979365532,0.00163002585102073
0.3537,0.0152,0.0204624588156014,0.00114101809571451
0.3998,0.0213,0.0114639076497044,0.0154852455846969
0.4318,0.0262,0.00924508681427773,0.00847613442530779
0.6081,0.0668,0.00739606945142218,0.00978015510612437
0.7004,0.0982,0.00517724861599553,0.0205383257228612
0.7152,0.1039,0.00776587292399329,0.0190713024569425
0.6895,0.0941,0.0110941041771333,0.0205383257228612
0.7075,0.1009,0.0147921389028444,0.0306444859991897
0.766,0.1253,0.0199693875188399,0.0340675402863332
0.8963,0.1925,0.0200926553430303,0.0519978246475612
1.0018,0.2607,0.0191065127495073,0.0925854683379774
1.0455,0.2929,0.0257629752557873,0.159579530814929
1.307,0.5387,0.0304471525750213,0.150125380879009
1.387,0.6334,0.0299540812782598,0.269443273173726
1.3056,0.5371,0.0320496342894961,0.369363857841297
1.4357,0.696,0.0348847942458746,0.426903770382329
1.5476,0.8541,0.0325427055862576,0.566433983229703
1.5698,0.888,0.028351599563785,0.942317944475083
1.5229,0.8174,0.0239139578929317,1
1.5776,0.9,0.0239139578929317,1
