susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0346256461094081,0.00208104308838575
0.3537,0.0152,0.0336132003167354,0.00145673016187002
0.3998,0.0213,0.0188314917437132,0.0197699093396646
0.4318,0.0262,0.0151866868900913,0.0108214240596059
0.6081,0.0668,0.012149349512073,0.0124862585303145
0.7004,0.0982,0.00850454465845112,0.0262211429136604
0.7152,0.1039,0.0127568169876767,0.0243482041341132
0.6895,0.0941,0.0182240242681095,0.0262211429136604
0.7075,0.1009,0.024298699024146,0.039123610061652
0.766,0.1253,0.0328032436825972,0.0434938005472621
0.8963,0.1925,0.0330057328411317,0.0663852745195053
1.0018,0.2607,0.0313858195728553,0.11820324742031
1.0455,0.2929,0.042320234133721,0.203734118352965
1.307,0.5387,0.0500148221580339,0.191664068440327
1.387,0.6334,0.0492048655238957,0.343996422510164
1.3056,0.5371,0.0526471812189831,0.47156436382821
1.4357,0.696,0.0573044318652778,0.545025184848227
1.5476,0.8541,0.0534571378531213,0.723162473214047
1.5698,0.888,0.0465725064629466,1
1.5229,0.8174,0.0392828967557028,1
1.5776,0.9,0.0392828967557028,1
