susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0343605440533231,0.00254865875183736
0.3537,0.0152,0.0333558497827581,0.00178406112628615
0.3998,0.0213,0.018687313432509,0.0242122581424549
0.4318,0.0262,0.015070414058475,0.0132530255095543
0.6081,0.0668,0.01205633124678,0.0152919525110242
0.7004,0.0982,0.00843943187274602,0.0321131002731508
0.7152,0.1039,0.012659147809119,0.0298193073964971
0.6895,0.0941,0.01808449687017,0.0321131002731508
0.7075,0.1009,0.0241126624935601,0.0479147845345424
0.766,0.1253,0.0325520943663061,0.0532669679134009
0.8963,0.1925,0.0327530332204191,0.0813022141836118
1.0018,0.2607,0.0311455223875151,0.144763817104362
1.0455,0.2929,0.0419962205096171,0.249513691804878
1.307,0.5387,0.0496318969659111,0.234731471044221
1.387,0.6334,0.0488281415494591,0.421293291678716
1.3056,0.5371,0.0522441020693801,0.577526073166346
1.4357,0.696,0.0568656957139791,0.667493727106205
1.5476,0.8541,0.0530478574858321,0.885658916263483
1.5698,0.888,0.0462159364459901,1
1.5229,0.8174,0.0389821376979221,1
1.5776,0.9,0.0389821376979221,1
