susceptibility,symptom_risk,hospitalisation_risk,death_risk
0.6109,0.0676,0.0165694056328931,0.0017147139935578
0.3537,0.0152,0.0160849200880717,0.00120029979549046
0.3998,0.0213,0.00901143113367872,0.0162897829387991
0.4318,0.0262,0.00726728317232155,0.00891651276650054
0.6081,0.0668,0.00581382653785724,0.0102882839613468
0.7004,0.0982,0.00406967857650007,0.0216053963188282
0.7152,0.1039,0.0061045178647501,0.0200621537246262
0.6895,0.0941,0.00872073980678586,0.0216053963188282
0.7075,0.1009,0.0116276530757145,0.0322366230788866
0.766,0.1253,0.0156973316522145,0.035837522465358
0.8963,0.1925,0.0157942287611788,0.0546993763944937
1.0018,0.2607,0.0150190518894645,0.0973957548340829
1.0455,0.2929,0.020251495773536,0.167870499969308
1.307,0.5387,0.023933585914179,0.157925158806673
1.387,0.6334,0.0235459974783218,0.283442223135104
1.3056,0.5371,0.0251932483307147,0.388554190940197
1.4357,0.696,0.0274218818368933,0.449083594912787
1.5476,0.8541,0.0255808367665719,0.595863112761334
1.5698,0.888,0.0222863350617861,0.991276159675762
1.5229,0.8174,0.0187980391390717,1
1.5776,0.9,0.0187980391390717,1
